Indicator,Year,Country ISO 3 code,Country,WHO region,World bank income group,Sex,Comments,Value Numeric,Value String,Value low,Value high
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,The most recent survey was conducted in 2019. This is a projection.,9.4,9.4 [6.4-12.3],6.4,12.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,The most recent survey was conducted in 2019. This is a projection.,16.1,16.1 [11.0-21.2],11,21.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,The most recent survey was conducted in 2019. This is a projection.,9,9.0 [6.1-12.0],6.1,12
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,The most recent survey was conducted in 2019. This is a projection.,2,2.0 [1.3-2.7],1.3,2.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,The most recent survey was conducted in 2019. This is a projection.,1.6,1.6 [1.0-2.2],1,2.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,The most recent survey was conducted in 2019. This is a projection.,14.6,14.6 [9.4-19.9],9.4,19.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,The most recent survey was conducted in 2019. This is a projection.,8.1,8.1 [5.2-11.1],5.2,11.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,The most recent survey was conducted in 2019. This is a projection.,12.6,12.6 [7.1-18.0],7.1,18
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,The most recent survey was conducted in 2019. This is a projection.,1.1,1.1 [0.6-1.6],0.6,1.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,The most recent survey was conducted in 2019. This is a projection.,6.8,6.8 [3.9-9.8],3.9,9.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,ALB,Albania,Europe,Upper middle income,Male,,59.6,59.6 [48.4-70.8],48.4,70.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,ALB,Albania,Europe,Upper middle income,Both sexes,,35.4,35.4 [28.4-42.3],28.4,42.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,ALB,Albania,Europe,Upper middle income,Female,,11.1,11.1 [8.4-13.9],8.4,13.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,ALB,Albania,Europe,Upper middle income,Female,,9.6,9.6 [7.4-11.8],7.4,11.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,ALB,Albania,Europe,Upper middle income,Male,,53.6,53.6 [44.2-62.9],44.2,62.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,ALB,Albania,Europe,Upper middle income,Both sexes,,31.6,31.6 [25.8-37.4],25.8,37.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,ALB,Albania,Europe,Upper middle income,Female,,9.1,9.1 [7.1-11.1],7.1,11.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,ALB,Albania,Europe,Upper middle income,Both sexes,,30.2,30.2 [24.5-35.9],24.5,35.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,ALB,Albania,Europe,Upper middle income,Male,,51.3,51.3 [41.9-60.7],41.9,60.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,ALB,Albania,Europe,Upper middle income,Female,,8.4,8.4 [6.4-10.3],6.4,10.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,ALB,Albania,Europe,Upper middle income,Male,,48.3,48.3 [40.0-56.7],40,56.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,ALB,Albania,Europe,Upper middle income,Both sexes,,28.3,28.3 [23.2-33.5],23.2,33.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,ALB,Albania,Europe,Upper middle income,Female,,7.3,7.3 [5.2-9.4],5.2,9.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,ALB,Albania,Europe,Upper middle income,Both sexes,,25.4,25.4 [20.1-30.7],20.1,30.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,ALB,Albania,Europe,Upper middle income,Male,,43.5,43.5 [35.0-52.0],35,52
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,ALB,Albania,Europe,Upper middle income,Female,The most recent survey was conducted in 2017-18. This is a projection.,6.4,6.4 [4.4-8.3],4.4,8.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,ALB,Albania,Europe,Upper middle income,Male,The most recent survey was conducted in 2017-18. This is a projection.,39.5,39.5 [30.5-48.5],30.5,48.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,ALB,Albania,Europe,Upper middle income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,22.9,22.9 [17.5-28.4],17.5,28.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,ALB,Albania,Europe,Upper middle income,Female,The most recent survey was conducted in 2017-18. This is a projection.,6.2,6.2 [3.9-8.5],3.9,8.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,ALB,Albania,Europe,Upper middle income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,22.4,22.4 [16.5-28.2],16.5,28.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,ALB,Albania,Europe,Upper middle income,Male,The most recent survey was conducted in 2017-18. This is a projection.,38.5,38.5 [29.2-47.8],29.2,47.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,ALB,Albania,Europe,Upper middle income,Female,The most recent survey was conducted in 2017-18. This is a projection.,6,6.0 [3.9-8.1],3.9,8.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,ALB,Albania,Europe,Upper middle income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,21.9,21.9 [16.2-27.7],16.2,27.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,ALB,Albania,Europe,Upper middle income,Male,The most recent survey was conducted in 2017-18. This is a projection.,37.8,37.8 [28.4-47.2],28.4,47.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,ALB,Albania,Europe,Upper middle income,Female,The most recent survey was conducted in 2017-18. This is a projection.,5.6,5.6 [3.4-7.7],3.4,7.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,ALB,Albania,Europe,Upper middle income,Male,The most recent survey was conducted in 2017-18. This is a projection.,35.9,35.9 [26.0-45.8],26,45.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,ALB,Albania,Europe,Upper middle income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,20.7,20.7 [14.7-26.8],14.7,26.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,ALB,Albania,Europe,Upper middle income,Female,The most recent survey was conducted in 2017-18. This is a projection.,4.9,4.9 [2.6-7.2],2.6,7.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,ALB,Albania,Europe,Upper middle income,Male,The most recent survey was conducted in 2017-18. This is a projection.,32.2,32.2 [21.9-42.5],21.9,42.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,ALB,Albania,Europe,Upper middle income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,18.6,18.6 [12.3-24.8],12.3,24.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,DZA,Algeria,Africa,Upper middle income,Male,,31.7,31.7 [18.1-45.2],18.1,45.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,DZA,Algeria,Africa,Upper middle income,Both sexes,,16.7,16.7 [9.5-23.9],9.5,23.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,DZA,Algeria,Africa,Upper middle income,Female,,1.8,1.8 [1.0-2.7],1,2.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,DZA,Algeria,Africa,Upper middle income,Female,,1.4,1.4 [0.8-2.0],0.8,2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,DZA,Algeria,Africa,Upper middle income,Both sexes,,16.2,16.2 [10.9-21.5],10.9,21.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,DZA,Algeria,Africa,Upper middle income,Male,,31,31.0 [20.9-41.1],20.9,41.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,DZA,Algeria,Africa,Upper middle income,Male,,31,31.0 [21.5-40.4],21.5,40.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,DZA,Algeria,Africa,Upper middle income,Both sexes,,16.1,16.1 [11.2-21.0],11.2,21
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,DZA,Algeria,Africa,Upper middle income,Female,,1.2,1.2 [0.8-1.7],0.8,1.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,DZA,Algeria,Africa,Upper middle income,Male,,30.7,30.7 [22.6-38.8],22.6,38.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,DZA,Algeria,Africa,Upper middle income,Female,,1,1.0 [0.7-1.4],0.7,1.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,DZA,Algeria,Africa,Upper middle income,Both sexes,,15.9,15.9 [11.7-20.1],11.7,20.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,DZA,Algeria,Africa,Upper middle income,Male,,30.4,30.4 [23.2-37.5],23.2,37.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,DZA,Algeria,Africa,Upper middle income,Female,,0.8,0.8 [0.6-1.0],0.6,1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,DZA,Algeria,Africa,Upper middle income,Both sexes,,15.6,15.6 [11.9-19.3],11.9,19.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,DZA,Algeria,Africa,Upper middle income,Female,The most recent survey was conducted in 2016-17. This is a projection.,0.6,0.6 [0.4-0.9],0.4,0.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,DZA,Algeria,Africa,Upper middle income,Male,The most recent survey was conducted in 2016-17. This is a projection.,30.2,30.2 [21.9-38.5],21.9,38.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,DZA,Algeria,Africa,Upper middle income,Both sexes,The most recent survey was conducted in 2016-17. This is a projection.,15.4,15.4 [11.2-19.7],11.2,19.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,DZA,Algeria,Africa,Upper middle income,Both sexes,The most recent survey was conducted in 2016-17. This is a projection.,15.4,15.4 [11.1-19.6],11.1,19.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,DZA,Algeria,Africa,Upper middle income,Male,The most recent survey was conducted in 2016-17. This is a projection.,30.1,30.1 [21.9-38.3],21.9,38.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,DZA,Algeria,Africa,Upper middle income,Female,The most recent survey was conducted in 2016-17. This is a projection.,0.6,0.6 [0.4-0.8],0.4,0.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,DZA,Algeria,Africa,Upper middle income,Female,The most recent survey was conducted in 2016-17. This is a projection.,0.6,0.6 [0.3-0.8],0.3,0.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,DZA,Algeria,Africa,Upper middle income,Both sexes,The most recent survey was conducted in 2016-17. This is a projection.,15.3,15.3 [10.7-19.9],10.7,19.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,DZA,Algeria,Africa,Upper middle income,Male,The most recent survey was conducted in 2016-17. This is a projection.,30.1,30.1 [21.1-39.1],21.1,39.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,DZA,Algeria,Africa,Upper middle income,Female,The most recent survey was conducted in 2016-17. This is a projection.,0.5,0.5 [0.3-0.7],0.3,0.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,DZA,Algeria,Africa,Upper middle income,Male,The most recent survey was conducted in 2016-17. This is a projection.,30.2,30.2 [19.2-41.2],19.2,41.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,DZA,Algeria,Africa,Upper middle income,Both sexes,The most recent survey was conducted in 2016-17. This is a projection.,15.3,15.3 [9.7-20.9],9.7,20.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,DZA,Algeria,Africa,Upper middle income,Both sexes,The most recent survey was conducted in 2016-17. This is a projection.,15.3,15.3 [9.0-21.5],9,21.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,DZA,Algeria,Africa,Upper middle income,Male,The most recent survey was conducted in 2016-17. This is a projection.,30.1,30.1 [17.8-42.4],17.8,42.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,DZA,Algeria,Africa,Upper middle income,Female,The most recent survey was conducted in 2016-17. This is a projection.,0.4,0.4 [0.2-0.6],0.2,0.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,AND,Andorra,Europe,High income,Both sexes,,36,36.0 [26.0-46.1],26,46.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,AND,Andorra,Europe,High income,Female,,28.5,28.5 [20.4-36.5],20.4,36.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,AND,Andorra,Europe,High income,Male,,43.6,43.6 [31.6-55.6],31.6,55.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,AND,Andorra,Europe,High income,Male,,41.3,41.3 [32.1-50.5],32.1,50.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,AND,Andorra,Europe,High income,Both sexes,,35.8,35.8 [27.6-43.9],27.6,43.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,AND,Andorra,Europe,High income,Female,,30.3,30.3 [23.2-37.3],23.2,37.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,AND,Andorra,Europe,High income,Male,,40.4,40.4 [30.5-50.2],30.5,50.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,AND,Andorra,Europe,High income,Female,,31,31.0 [23.5-38.6],23.5,38.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,AND,Andorra,Europe,High income,Both sexes,,35.7,35.7 [27.0-44.4],27,44.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,AND,Andorra,Europe,High income,Female,,32.2,32.2 [24.5-40.0],24.5,40
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,AND,Andorra,Europe,High income,Both sexes,,35.7,35.7 [27.6-43.8],27.6,43.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,AND,Andorra,Europe,High income,Male,,39.2,39.2 [30.8-47.7],30.8,47.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,AND,Andorra,Europe,High income,Male,,37.2,37.2 [27.1-47.3],27.1,47.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,AND,Andorra,Europe,High income,Female,,34.4,34.4 [24.3-44.5],24.3,44.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,AND,Andorra,Europe,High income,Both sexes,,35.8,35.8 [25.7-45.9],25.7,45.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,AND,Andorra,Europe,High income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,36,36.0 [24.7-47.3],24.7,47.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,AND,Andorra,Europe,High income,Male,The most recent survey was conducted in 2017-18. This is a projection.,35.3,35.3 [24.5-46.1],24.5,46.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,AND,Andorra,Europe,High income,Female,The most recent survey was conducted in 2017-18. This is a projection.,36.7,36.7 [25.0-48.5],25,48.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,AND,Andorra,Europe,High income,Male,The most recent survey was conducted in 2017-18. This is a projection.,35,35.0 [23.3-46.6],23.3,46.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,AND,Andorra,Europe,High income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,36.1,36.1 [24.7-47.5],24.7,47.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,AND,Andorra,Europe,High income,Female,The most recent survey was conducted in 2017-18. This is a projection.,37.3,37.3 [26.1-48.5],26.1,48.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,AND,Andorra,Europe,High income,Female,The most recent survey was conducted in 2017-18. This is a projection.,37.9,37.9 [23.6-52.1],23.6,52.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,AND,Andorra,Europe,High income,Male,The most recent survey was conducted in 2017-18. This is a projection.,34.8,34.8 [23.6-46.0],23.6,46
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,AND,Andorra,Europe,High income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,36.3,36.3 [23.6-49.0],23.6,49
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,AND,Andorra,Europe,High income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,36.4,36.4 [22.8-50.1],22.8,50.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,AND,Andorra,Europe,High income,Male,The most recent survey was conducted in 2017-18. This is a projection.,33.5,33.5 [22.0-45.1],22,45.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,AND,Andorra,Europe,High income,Female,The most recent survey was conducted in 2017-18. This is a projection.,39.3,39.3 [23.6-55.0],23.6,55
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,AND,Andorra,Europe,High income,Male,The most recent survey was conducted in 2017-18. This is a projection.,32.2,32.2 [19.1-45.3],19.1,45.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,AND,Andorra,Europe,High income,Both sexes,The most recent survey was conducted in 2017-18. This is a projection.,37.2,37.2 [21.6-52.9],21.6,52.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,AND,Andorra,Europe,High income,Female,The most recent survey was conducted in 2017-18. This is a projection.,42.3,42.3 [24.1-60.4],24.1,60.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,ARG,Argentina,Americas,Upper middle income,Both sexes,,34.3,34.3 [26.6-41.9],26.6,41.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,ARG,Argentina,Americas,Upper middle income,Male,,40,40.0 [31.4-48.6],31.4,48.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,ARG,Argentina,Americas,Upper middle income,Female,,28.5,28.5 [21.8-35.2],21.8,35.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,ARG,Argentina,Americas,Upper middle income,Female,,25.9,25.9 [21.3-30.5],21.3,30.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,ARG,Argentina,Americas,Upper middle income,Male,,37.2,37.2 [30.6-43.7],30.6,43.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,ARG,Argentina,Americas,Upper middle income,Both sexes,,31.5,31.5 [26.0-37.1],26,37.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,ARG,Argentina,Americas,Upper middle income,Male,,35.9,35.9 [29.0-42.8],29,42.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,ARG,Argentina,Americas,Upper middle income,Female,,25.1,25.1 [21.0-29.2],21,29.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,ARG,Argentina,Americas,Upper middle income,Both sexes,,30.5,30.5 [25.0-36.0],25,36
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,ARG,Argentina,Americas,Upper middle income,Female,,23.7,23.7 [19.7-27.7],19.7,27.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,ARG,Argentina,Americas,Upper middle income,Male,,34.2,34.2 [28.6-39.8],28.6,39.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,ARG,Argentina,Americas,Upper middle income,Both sexes,,29,29.0 [24.2-33.8],24.2,33.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,ARG,Argentina,Americas,Upper middle income,Male,,31.8,31.8 [25.8-37.8],25.8,37.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,ARG,Argentina,Americas,Upper middle income,Both sexes,,26.6,26.6 [21.8-31.4],21.8,31.4
